mab_uid	mab_name	Protein_RefID	virus_id	virus_name	Family	Organism	Species	Epitope	pubmed_id	Target Protein	Target type	Target	Target name	Assay type	Assay	Quantitative measure	Unit	disease_id
311_DVB64	DVB64		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	21	ng/ml	12205
312_DVB64	DVB64		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12206
313_DVB64	DVB64		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	7	ng/ml	12206
314_DVB64	DVB64		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	"12206; 0050125"
315_DVB64	DVB64		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	5	ng/ml	12205
316_DVB64	DVB64		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	12206
317_DVB64	DVB64		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	12206
318_DVB64	DVB64		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	"12206; 0050125"
319_DVB64	DVB64		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
320_DVB64	DVB64		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
321_DVB64	DVB64		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	66	ng/ml	12206
322_DVB64	DVB64		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)		ng/ml	"12206; 0050125"
323_DVF232	DVF232		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	46	ng/ml	60478
324_DVF232	DVF232		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	19	ng/ml	12205
325_DVF232	DVF232		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	23	ng/ml	12206
326_DVF232	DVF232		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	12206
327_DVF232	DVF232		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	"12206; 0050125"
328_DVF232	DVF232		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	7	ng/ml	12205
329_DVF232	DVF232		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	12206
330_DVF232	DVF232		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	12206
331_DVF232	DVF232		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	"12206; 0050125"
332_DVF232	DVF232		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
333_DVF232	DVF232		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
334_DVF232	DVF232		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
335_DVF232	DVF232		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)		ng/ml	"12206; 0050125"
336_DVF183	DVF183		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	97	ng/ml	60478
337_DVF183	DVF183		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	22	ng/ml	12205
338_DVF183	DVF183		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	32	ng/ml	12206
339_DVF183	DVF183		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	12206
340_DVF183	DVF183		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	7	ng/ml	"12206; 0050125"
341_DVF183	DVF183		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	12	ng/ml	12205
342_DVF183	DVF183		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	12206
343_DVF183	DVF183		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	12206
344_DVF183	DVF183		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	"12206; 0050125"
345_DVF183	DVF183		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
346_DVF183	DVF183		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
347_DVF183	DVF183		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
348_DVF183	DVF183		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)		ng/ml	"12206; 0050125"
349_DVF61	DVF61		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	43	ng/ml	60478
350_DVF61	DVF61		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	53	ng/ml	12205
351_DVF61	DVF61		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	19	ng/ml	12206
352_DVF61	DVF61		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12206
353_DVF61	DVF61		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	"12206; 0050125"
354_DVF61	DVF61		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	7	ng/ml	12205
355_DVF61	DVF61		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	3	ng/ml	12206
356_DVF61	DVF61		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	12206
357_DVF61	DVF61		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	"12206; 0050125"
358_DVF61	DVF61		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	935	ng/ml	12205
359_DVF61	DVF61		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	374	ng/ml	"12205; 12206"
360_DVF61	DVF61		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	717	ng/ml	12206
361_DVF61	DVF61		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)		ng/ml	"12206; 0050125"
362_DVF102	DVF102		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	261	ng/ml	60478
363_DVF102	DVF102		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	61	ng/ml	12205
364_DVF102	DVF102		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	60	ng/ml	12206
365_DVF102	DVF102		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	18	ng/ml	12206
366_DVF102	DVF102		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	18	ng/ml	12206
367_DVF102	DVF102		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	9	ng/ml	12205
368_DVF102	DVF102		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	4	ng/ml	12206
369_DVF102	DVF102		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	7	ng/ml	12206
370_DVF102	DVF102		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	"12206; 0050125"
371_DVF102	DVF102		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
372_DVF102	DVF102		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
373_DVF102	DVF102		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
374_DVF102	DVF102		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)		ng/ml	"12206; 0050125"
375_DV7	DV7		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	83	ng/ml	60478
376_DV7	DV7		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	80	ng/ml	12205
377_DV7	DV7		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	24	ng/ml	12206
378_DV7	DV7		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	13	ng/ml	12206
379_DV7	DV7		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	23	ng/ml	"12206; 0050125"
380_DV7	DV7		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	15	ng/ml	12205
381_DV7	DV7		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	14	ng/ml	12206
382_DV7	DV7		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	9	ng/ml	12206
383_DV7	DV7		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12206
384_DV7	DV7		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	84	ng/ml	12205
385_DV7	DV7		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	75	ng/ml	12206
386_DV7	DV7		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	130	ng/ml	12206
387_DV7	DV7		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	31	ng/ml	"12206; 0050125"
388_DV8	DV8		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	186	ng/ml	60478
389_DV8	DV8		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	263	ng/ml	12205
390_DV8	DV8		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	102	ng/ml	12206
391_DV8	DV8		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	92	ng/ml	12206
392_DV8	DV8		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	111	ng/ml	"12206; 0050125"
393_DV8	DV8		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	65	ng/ml	12205
394_DV8	DV8		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	71	ng/ml	12206
395_DV8	DV8		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	59	ng/ml	12206
396_DV8	DV8		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	58	ng/ml	"12206; 0050125"
397_DV8	DV8		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	103	ng/ml	12205
398_DV8	DV8		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	22	ng/ml	12206
399_DV8	DV8		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	31	ng/ml	12206
400_DV8	DV8		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	24	ng/ml	"12206; 0050125"
401_DV15	DV15		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	159	ng/ml	60478
402_DV15	DV15		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	305	ng/ml	12205
403_DV15	DV15		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	29	ng/ml	12206
404_DV15	DV15		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	22	ng/ml	12206
405_DV15	DV15		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	36	ng/ml	"12206; 0050125"
406_DV15	DV15		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	34	ng/ml	12205
407_DV15	DV15		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12206
408_DV15	DV15		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	14	ng/ml	12206
409_DV15	DV15		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	17	ng/ml	"12206; 0050125"
410_DV15	DV15		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	123	ng/ml	12205
411_DV15	DV15		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	55	ng/ml	12206
412_DV15	DV15		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	173	ng/ml	12206
413_DV15	DV15		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	70	ng/ml	"12206; 0050125"
414_DV16	DV16		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	420	ng/ml	60478
415_DV16	DV16		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	148	ng/ml	12205
416_DV16	DV16		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	34	ng/ml	12206
417_DV16	DV16		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	17	ng/ml	12206
418_DV16	DV16		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	22	ng/ml	"12206; 0050125"
419_DV16	DV16		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	16	ng/ml	12205
420_DV16	DV16		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12206
421_DV16	DV16		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	8	ng/ml	12206
422_DV16	DV16		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	20	ng/ml	12206
423_DV16	DV16		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	248	ng/ml	12205
424_DV16	DV16		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	89	ng/ml	12206
425_DV16	DV16		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	219	ng/ml	12206
426_DV16	DV16		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	101	ng/ml	12206
427_DVA378	DVA378		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	40	ng/ml	60478
428_DVA378	DVA378		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	38	ng/ml	12205
429_DVA378	DVA378		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	14	ng/ml	12206
430_DVA378	DVA378		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	5	ng/ml	12206
431_DVA378	DVA378		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	7	ng/ml	12206
432_DVA378	DVA378		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	7	ng/ml	12205
433_DVA378	DVA378		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	6	ng/ml	12206
434_DVA378	DVA378		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	3	ng/ml	12206
435_DVA378	DVA378		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12206
436_DVA378	DVA378		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	149	ng/ml	12205
437_DVA378	DVA378		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	72	ng/ml	12206
438_DVA378	DVA378		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	251	ng/ml	12206
439_DVA378	DVA378		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	498	ng/ml	12206
440_DVC23	DVC23		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	234	ng/ml	60478
441_DVC23	DVC23		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	234	ng/ml	12205
442_DVC23	DVC23		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	87	ng/ml	12206
443_DVC23	DVC23		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	54	ng/ml	12206
444_DVC23	DVC23		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	85	ng/ml	12206
445_DVC23	DVC23		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	45	ng/ml	12205
446_DVC23	DVC23		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	43	ng/ml	12206
447_DVC23	DVC23		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	31	ng/ml	12206
448_DVC23	DVC23		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	39	ng/ml	12206
449_DVC23	DVC23		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
450_DVC23	DVC23		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	14	ng/ml	12206
451_DVC23	DVC23		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
452_DVC23	DVC23		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
453_DVF108	DVF108		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	80	ng/ml	60478
454_DVF108	DVF108		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	89	ng/ml	12205
455_DVF108	DVF108		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	37	ng/ml	12206
456_DVF108	DVF108		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	24	ng/ml	12206
457_DVF108	DVF108		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	17	ng/ml	12206
458_DVF108	DVF108		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12205
459_DVF108	DVF108		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	5	ng/ml	12206
460_DVF108	DVF108		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	10	ng/ml	12206
461_DVF108	DVF108		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	8	ng/ml	12206
462_DVF108	DVF108		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
463_DVF108	DVF108		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
464_DVF108	DVF108		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
465_DVF108	DVF108		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
466_DVD15	DVD15		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	338	ng/ml	60478
467_DVD15	DVD15		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	394	ng/ml	12205
468_DVD15	DVD15		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	125	ng/ml	12206
469_DVD15	DVD15		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	29	ng/ml	12206
470_DVD15	DVD15		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	75	ng/ml	12206
471_DVD15	DVD15		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	13	ng/ml	12205
472_DVD15	DVD15		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	18	ng/ml	12206
473_DVD15	DVD15		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	9	ng/ml	12206
474_DVD15	DVD15		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	11	ng/ml	12206
475_DVD15	DVD15		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	209	ng/ml	12205
476_DVD15	DVD15		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	66	ng/ml	12206
477_DVD15	DVD15		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	262	ng/ml	12206
478_DVD15	DVD15		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	183	ng/ml	12206
479_DV38	DV38		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	157	ng/ml	60478
480_DV38	DV38		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	69	ng/ml	12205
481_DV38	DV38		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	40	ng/ml	12206
482_DV38	DV38		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	23	ng/ml	12206
483_DV38	DV38		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	22	ng/ml	12206
484_DV38	DV38		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	40	ng/ml	12205
485_DV38	DV38		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	10	ng/ml	12206
486_DV38	DV38		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	16	ng/ml	12206
487_DV38	DV38		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	113	ng/ml	12206
488_DV38	DV38		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)	209	ng/ml	12205
489_DV38	DV38		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)	66	ng/ml	12206
490_DV38	DV38		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)	262	ng/ml	12206
491_DV38	DV38		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	183	ng/ml	12206
492_DV1	DV1		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	157	ng/ml	60478
493_DV1	DV1		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	69	ng/ml	12205
494_DV1	DV1		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	40	ng/ml	12206
495_DV1	DV1		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	23	ng/ml	12206
496_DV1	DV1		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	22	ng/ml	12206
497_DV1	DV1		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	40	ng/ml	12205
498_DV1	DV1		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	10	ng/ml	12206
499_DV1	DV1		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	16	ng/ml	12206
500_DV1	DV1		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	113	ng/ml	12206
501_DV1	DV1		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
502_DV1	DV1		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
503_DV1	DV1		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
504_DV1	DV1		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	82	ng/ml	12206
505_DVD19	DVD19		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	157	ng/ml	60478
506_DVD19	DVD19		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	69	ng/ml	12205
507_DVD19	DVD19		11060	DENV2					27417494		Protein	DENV2 E		Binding	"ELISA (EC50; ng/ml)"	40	ng/ml	12206
508_DVD19	DVD19		11069	DENV3					27417494		Protein	DENV3 E		Binding	"ELISA (EC50; ng/ml)"	23	ng/ml	12206
509_DVD19	DVD19		11070	DENV4					27417494		Protein	DENV4 E		Binding	"ELISA (EC50; ng/ml)"	22	ng/ml	12206
510_DVD19	DVD19		11053	DENV1					27417494		Protein	DENV1 VLP		Binding	"ELISA (EC50; ng/ml)"	40	ng/ml	12205
511_DVD19	DVD19		11060	DENV2					27417494		Protein	DENV2 VLP		Binding	"ELISA (EC50; ng/ml)"	10	ng/ml	12206
512_DVD19	DVD19		11069	DENV3					27417494		Protein	DENV3 VLP		Binding	"ELISA (EC50; ng/ml)"	16	ng/ml	12206
513_DVD19	DVD19		11070	DENV4					27417494		Protein	DENV4 VLP		Binding	"ELISA (EC50; ng/ml)"	113	ng/ml	12206
514_DVD19	DVD19		11053	DENV1					27417494			DENV1 neut		Neutralization	IC50 (ng/ml)		ng/ml	12205
515_DVD19	DVD19		11060	DENV2					27417494			DENV2 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
516_DVD19	DVD19		11069	DENV3					27417494			DENV3 neut		Neutralization	IC50 (ng/ml)		ng/ml	12206
517_DVD19	DVD19		11070	DENV4					27417494			DENV4 neut		Neutralization	IC50 (ng/ml)	82	ng/ml	12206
518_DV18	DV18		64320	ZIKV					27417494		Protein	ZIKV E		Binding	"ELISA (EC50; ng/ml)"	1981	ng/ml	60478
519_DV18	DV18		11053	DENV1					27417494		Protein	DENV1 E		Binding	"ELISA (EC50; ng/ml)"	689	ng/ml	12205
